Year,Month,Platform,Channel,KPI,Actual,Target
2025,May,Customer Portal,WHS,Delivered Orders,4434,2764
2025,May,Customer Portal,WHS,Order Frequency,5.8,
2025,May,Customer Portal,WHS,Fulfillment Rate %,88,
2025,May,Customer Portal,WHS,Digital Order Share %,20.24,
2025,May,Customer Portal,WHS,Volume UC,1493015,651363
2025,May,Customer Portal,WHS,UC per Order,337,
2025,May,Customer Portal,WHS,Digital Volume Share %,14.93,
2025,Jun,Customer Portal,WHS,Registered Customers,1545,1505
2025,Jun,Customer Portal,WHS,Active Customers,921,677
2025,Jun,Customer Portal,WHS,Delivered Orders,8248,3048
2025,Jun,Customer Portal,WHS,Order Frequency,9,
2025,Jun,Customer Portal,WHS,Fulfillment Rate %,82,
2025,Jun,Customer Portal,WHS,Digital Order Share %,22.31,
2025,Jun,Customer Portal,WHS,Volume UC,2735687,1205864
2025,Jun,Customer Portal,WHS,UC per Order,332,
2025,Jun,Customer Portal,WHS,Digital Volume Share %,16.16,
2025,Jul,Customer Portal,WHS,Registered Customers,1750,1848
2025,Jul,Customer Portal,WHS,Active Customers,1058,1109
2025,Jul,Customer Portal,WHS,Delivered Orders,7782,5544
2025,Jul,Customer Portal,WHS,Order Frequency,7.4,
2025,Jul,Customer Portal,WHS,Fulfillment Rate %,75,
2025,Jul,Customer Portal,WHS,Digital Order Share %,23.4,
2025,Jul,Customer Portal,WHS,Volume UC,2830061,2378068
2025,Jul,Customer Portal,WHS,UC per Order,364,
2025,Jul,Customer Portal,WHS,Digital Volume Share %,20.44,
2025,Aug,Customer Portal,WHS,Registered Customers,1791,2041
2025,Aug,Customer Portal,WHS,Active Customers,1172,1224
2025,Aug,Customer Portal,WHS,Delivered Orders,9407,6122
2025,Aug,Customer Portal,WHS,Order Frequency,8,
2025,Aug,Customer Portal,WHS,Fulfillment Rate %,70,
2025,Aug,Customer Portal,WHS,Digital Order Share %,27.9,
2025,Aug,Customer Portal,WHS,Volume UC,3795051,2664706
2025,Aug,Customer Portal,WHS,UC per Order,403,
